timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652003767654,4089,HTTP Request,200,OK,Thread Group 1-1,text,true,,1582283,116,1,1,http://20.232.161.71/,621,0,335
1652004029529,7635,HTTP Request,200,OK,Thread Group 1-1,text,true,,1582283,116,10,10,http://20.232.161.71/,598,0,302
1652004029611,8392,HTTP Request,200,OK,Thread Group 1-3,text,true,,1582283,116,9,9,http://20.232.161.71/,566,0,260
1652004029812,9480,HTTP Request,200,OK,Thread Group 1-5,text,true,,1582283,116,8,8,http://20.232.161.71/,544,0,261
1652004030011,9551,HTTP Request,200,OK,Thread Group 1-7,text,true,,1582283,116,7,7,http://20.232.161.71/,557,0,261
1652004029530,10694,HTTP Request,200,OK,Thread Group 1-2,text,true,,1582283,116,6,6,http://20.232.161.71/,609,0,296
1652004030211,12621,HTTP Request,200,OK,Thread Group 1-9,text,true,,1582283,116,5,5,http://20.232.161.71/,625,0,274
1652004029713,13681,HTTP Request,200,OK,Thread Group 1-4,text,true,,1582283,116,4,4,http://20.232.161.71/,535,0,263
1652004030111,14323,HTTP Request,200,OK,Thread Group 1-8,text,true,,1582283,116,3,3,http://20.232.161.71/,573,0,287
1652004030312,15064,HTTP Request,200,OK,Thread Group 1-10,text,true,,1582283,116,2,2,http://20.232.161.71/,616,0,283
1652004029912,16766,HTTP Request,200,OK,Thread Group 1-6,text,true,,1582283,116,1,1,http://20.232.161.71/,566,0,280
1652004170888,8006,HTTP Request,200,OK,Thread Group 1-1,text,true,,1582283,116,10,10,http://20.232.161.71/,615,0,302
1652004171570,7396,HTTP Request,200,OK,Thread Group 1-9,text,true,,1582283,116,9,9,http://20.232.161.71/,741,0,294
1652004170970,11565,HTTP Request,200,OK,Thread Group 1-3,text,true,,1582283,116,8,8,http://20.232.161.71/,567,0,273
1652004170887,13133,HTTP Request,200,OK,Thread Group 1-2,text,true,,1582283,116,7,7,http://20.232.161.71/,610,0,297
1652004171071,14142,HTTP Request,200,OK,Thread Group 1-4,text,true,,1582283,116,6,6,http://20.232.161.71/,545,0,264
1652004171470,13988,HTTP Request,200,OK,Thread Group 1-8,text,true,,1582283,116,5,5,http://20.232.161.71/,617,0,277
1652004171671,15277,HTTP Request,200,OK,Thread Group 1-10,text,true,,1582283,116,4,4,http://20.232.161.71/,684,0,276
1652004171271,16666,HTTP Request,200,OK,Thread Group 1-6,text,true,,1582283,116,3,3,http://20.232.161.71/,595,0,296
1652004171171,18868,HTTP Request,200,OK,Thread Group 1-5,text,true,,1582283,116,2,2,http://20.232.161.71/,576,0,286
1652004171370,19918,HTTP Request,200,OK,Thread Group 1-7,text,true,,1582283,116,1,1,http://20.232.161.71/,573,0,260
